Id,SalePrice
2658,149755.13462792808
2718,280699.737425588
2414,119584.70678786289
1989,157174.09229351787
625,209848.69171920544
333,104994.09004553629
1327,172630.25409682994
858,194268.88062146684
95,141346.9826069263
1568,195629.02286015832
2482,187962.76660571553
1364,166076.84149222562
2584,207499.355125102
818,181903.9511788172
2673,163232.9077204162
2089,203171.62982017462
1297,146787.55156169215
790,170157.26820830003
2616,256711.77430684766
720,150744.32898334003
222,168549.82738075557
557,144314.56567316223
1148,237422.48437631418
2766,159647.07818204782
534,188086.41590014202
1452,144314.56567316223
630,195876.3214490113
2648,172135.65691912395
125,167807.93161419657
1904,92134.56342518063
1670,143572.66990660323
756,142336.17696233827
717,200698.64393164468
1032,183140.44412308215
852,221966.3225730021
1731,112660.34629997908
2639,179307.31599586076
2071,160883.57112631277
1267,150002.43321678106
1851,205397.31711985156
567,113154.94347768507
2439,155690.3007603999
1898,201564.18899263017
647,206015.56359198404
2256,223079.16622284058
979,136153.71224101342
1444,151238.92616104602
2485,156803.14441023837
157,153217.31487186998
88,166076.84149222562
2003,150249.73180563404
186,180543.80894012572
1425,237175.1857874612
2695,136771.95871314593
738,139121.29530724935
395,164345.75137025467
1353,177576.2258738898
1878,203666.2269978806
390,184995.18353947962
1456,160141.67535975378
1103,285522.05990822136
1387,178441.7709348753
2070,182893.14553422917
1199,141965.22907905877
2479,137637.50377413142
501,292570.0696905317
2362,143572.66990660323
1718,198472.95663196774
2188,133186.1291747775
1483,142336.17696233827
2557,129847.5982252621
437,223944.71128382604
2224,230374.47459400387
1628,136648.30941871944
397,167313.3344364906
587,250652.95887994932
971,256464.47571799468
2611,186726.27366145057
1887,146540.25297283917
2399,257577.31936783314
2148,217885.8958569277
304,127374.61233673217
1997,122428.6405596723
2817,131455.03905280656
1431,113649.54065539104
427,289973.43450757524
263,145798.35720628017
598,200698.64393164468
2895,248550.92087469887
687,169044.42455846156
1822,161007.22042073926
2191,135906.41365216044
179,139739.54177938183
1009,189322.90884440698
2010,127498.26163115868
1991,150497.03039448702
1411,224068.36057825256
1721,229632.5788274449
1144,139739.54177938183
593,137637.50377413142
575,246943.48004715441
1249,258813.8123120981
1604,151609.87404432552
1064,342895.3325221158
1923,191301.29755523094
1988,144561.8642620152
2325,123665.13350393728
114,196618.2172155703
2700,275011.8698819692
217,264007.0826780109
343,214794.6634962653
386,168302.52879190256
2005,208364.90018608747
2908,178441.7709348753
1814,222213.6211618551
2446,263883.4333835845
208,165087.64713681367
1679,115380.630777362
822,250158.36170224333
6,151980.82192760502
1781,280576.0881311615
2397,175968.78504634535
2340,249416.46593568436
1618,135659.11506330746
2843,155443.00217154692
1061,212321.67760773536
2786,144314.56567316223
1935,162120.06407057773
1341,107343.42663963971
521,226664.99576120896
2136,164222.10207582818
996,154082.85993285547
227,126509.0672757467
135,176957.97940175733
1167,131084.0911695271
294,188951.9609611275
1776,206757.459358543
540,175226.88927978638
1717,198472.95663196774
2303,138379.39954069036
116,208241.25089166098
127,170775.5146804325
1371,130960.44187510057
1014,219740.63527332517
1507,152351.7698108845
702,156184.8979381059
750,167066.0358476376
261,122675.9391485253
1559,90898.07048091566
577,252631.34759077328
2812,143819.9684954562
2080,159647.07818204782
1368,172012.00762469746
2376,148765.9402725161
659,135411.81647445448
1235,173248.50056896242
332,104994.09004553629
1917,153217.31487186998
2094,150249.73180563404
1460,167931.58090862306
1471,222089.9718674286
1509,132444.23340821854
1922,168055.23020304955
433,368119.78858512116
460,217514.94797364823
1116,230745.42247728337
1137,175226.88927978638
53,179060.01740700778
2354,156184.8979381059
1475,216154.80573495675
1761,335600.02415095246
842,159894.3767709008
2739,230374.47459400387
2509,101779.20839044737
1007,171764.70903584445
2610,171641.05974141796
1952,122923.2377373783
2719,278474.0501259111
2921,104994.09004553629
1966,191053.99896637796
292,148024.0445059571
1204,173248.50056896242
1829,224933.90563923802
2419,128734.75457542363
391,204408.12276443958
798,123788.78279836377
481,137142.9065964254
193,180914.75682340522
555,158657.88382663584
899,154206.50922728196
2357,140357.7882515143
328,154330.15852170845
1356,141099.6840180733
1154,144314.56567316223
1730,134298.972824616
2249,150249.73180563404
1119,155566.6514659734
